count,atemp,workingday
16,3.0014,0
40,1.9982,0
32,1.9982,0
13,3.0014,0
1,3.0014,0
1,1.0016,0
2,1.9982,0
3,1.0016,0
8,3.0014,0
14,7.001,0
36,9.9974,0
56,5.9978,0
84,11.9972,0
94,13.997,0
106,13.997,0
110,13.0004,0
93,11.9972,0
67,13.0004,0
35,11.9972,0
37,11.9972,0
36,11.0006,0
34,11.0006,0
28,11.0006,0
39,13.997,0
17,13.997,0
17,13.0004,0
9,11.9972,0
6,13.997,0
3,13.997,0
2,11.9972,0
1,11.0006,0
8,11.0006,0
20,9.9974,0
53,7.001,0
70,5.9978,0
93,5.9978,0
75,7.001,0
59,7.001,0
74,5.9978,0
76,5.9978,0
65,5.9978,0
53,5.9978,0
30,3.0014,0
22,1.9982,0
31,-0.9982,0
9,-2.0014,0
8,-0.9982,0
5,-2.998,1
2,-4.9978,1
1,-6.9976,1
3,-6.9976,1
30,-8.9974,1
64,-6.9976,1
154,-8.0008,1
88,-6.9976,1
44,-4.9978,1
51,-4.0012,1
61,-2.0014,1
61,-2.0014,1
77,-0.0016,1
72,-0.0016,1
76,-0.0016,1
157,-0.9982,1
157,1.0016,1
110,1.0016,1
52,-0.9982,1
52,-2.998,1
20,-6.001,1
12,-2.0014,1
5,-4.0012,1
2,-4.0012,1
1,-6.001,1
2,-4.0012,1
4,-6.001,1
36,-6.001,1
94,-6.001,1
179,-6.001,1
100,-6.001,1
42,-6.9976,1
57,-2.0014,1
78,-0.9982,1
97,-0.9982,1
63,1.0016,1
65,1.9982,1
83,3.0014,1
212,1.9982,1
182,1.0016,1
112,1.0016,1
54,1.0016,1
48,1.9982,1
35,1.0016,1
11,-0.9982,1
6,1.0016,1
6,-2.998,1
2,-2.998,1
2,-0.9982,1
3,-0.9982,1
33,-2.998,1
88,-4.0012,1
195,-4.0012,1
115,-2.998,1
57,-2.998,1
46,-0.9982,1
79,-0.9982,1
71,1.0016,1
62,3.0014,1
62,3.0014,1
89,5.0012,1
190,-0.9982,1
169,-0.0016,1
132,1.0016,1
89,-0.9982,1
43,-2.998,1
42,-2.998,1
19,1.0016,1
11,-0.0016,1
4,-0.9982,1
2,-0.9982,1
1,-2.998,1
4,-4.0012,1
36,-4.9978,1
95,-0.9982,1
219,-0.9982,1
122,-0.0016,1
45,1.0016,1
59,1.0016,1
84,3.0014,1
67,1.9982,1
70,1.9982,1
62,1.9982,1
86,1.0016,1
172,-0.9982,1
163,-0.9982,1
112,1.0016,1
69,-2.0014,1
48,-2.0014,1
52,-2.0014,1
23,-2.998,1
17,-2.998,1
7,-2.998,1
1,-2.998,1
1,-2.0014,1
5,1.9982,1
34,1.0016,1
84,-2.0014,1
210,-2.998,1
134,-4.0012,1
63,-2.998,1
67,-2.998,1
59,-2.998,1
73,-4.0012,1
50,-2.998,1
72,-2.0014,1
87,-2.0014,1
187,1.0016,1
123,-0.9982,1
95,-2.998,1
51,-2.0014,1
39,-2.998,1
36,-2.998,1
15,-2.998,1
25,-2.998,0
16,-2.0014,0
16,-0.0016,0
7,-2.998,0
1,-2.998,0
5,-4.9978,0
2,-4.9978,0
9,-4.0012,0
15,-4.0012,0
20,-4.0012,0
61,-2.998,0
62,-4.0012,0
98,-4.0012,0
102,-4.0012,0
95,-4.9978,0
74,-4.9978,0
76,-6.9976,0
69,-8.0008,0
55,-8.0008,0
30,-8.0008,0
28,-8.0008,0
37,-8.9974,0
34,-8.9974,0
22,-12.0004,0
25,-10.9972,0
12,-12.0004,0
11,-12.0004,0
4,-10.9972,0
1,-10.0006,0
1,-10.0006,0
1,-10.0006,0
6,-10.0006,0
10,-10.0006,0
19,-10.9972,0
49,-8.9974,0
49,-8.0008,0
83,-6.9976,0
75,-4.9978,0
72,-4.0012,0
82,-2.998,0
92,-4.9978,0
62,-6.001,0
48,-6.9976,0
41,-6.9976,0
38,-8.0008,0
20,-8.9974,0
15,-8.0008,0
6,-6.9976,0
5,-8.0008,1
1,-8.0008,1
3,-8.0008,1
1,-8.0008,1
3,-8.0008,1
3,-8.9974,1
31,-8.0008,1
77,-8.0008,1
188,-8.0008,1
94,-8.0008,1
31,-8.0008,1
30,-6.9976,1
52,-4.0012,1
54,-4.0012,1
47,-2.998,1
45,-2.998,1
74,-2.0014,1
178,-0.9982,1
155,-2.998,1
95,-4.9978,1
74,-4.9978,1
38,-6.9976,1
24,-6.001,1
18,-6.001,1
12,-4.9978,1
3,-6.001,1
3,-6.001,1
6,-4.0012,1
27,-4.0012,1
99,-0.9982,1
217,-2.0014,1
130,-2.998,1
54,-2.0014,1
35,-2.0014,1
57,-0.9982,1
52,-0.9982,1
63,-0.9982,1
47,-2.998,1
76,-6.001,1
136,-6.001,1
95,-4.0012,1
51,-0.9982,1
32,-6.001,1
20,-2.998,1
29,-4.0012,1
19,-2.998,1
7,-2.998,1
6,-4.0012,1
1,-6.001,1
5,-6.001,1
16,-6.001,1
54,-6.001,1
128,-4.9978,1
81,-6.9976,1
39,-4.0012,1
35,-4.0012,1
55,-6.001,1
49,-2.998,1
44,-4.0012,1
49,-4.9978,1
68,-2.998,1
139,-4.0012,1
137,-6.001,1
83,-6.001,1
56,-6.9976,1
57,-6.9976,1
33,-8.0008,1
20,-8.9974,1
7,-8.0008,1
2,-8.0008,1
2,-8.0008,1
3,-8.0008,1
4,-8.0008,1
3,-8.0008,1
28,-6.001,1
72,-6.001,1
202,-6.9976,1
139,-8.0008,1
38,-6.9976,1
37,-4.9978,1
52,-4.9978,1
83,-2.998,1
42,-2.998,1
60,-2.0014,1
78,-2.0014,1
162,-4.0012,1
144,-4.0012,1
99,-6.001,1
64,-6.001,1
40,-8.0008,1
30,-8.0008,1
15,-6.9976,1
14,-6.9976,1
5,-8.0008,1
1,-8.0008,1
1,-6.9976,1
8,-6.9976,1
17,-4.0012,1
70,-8.0008,1
158,-4.9978,1
117,-6.001,1
44,-4.0012,1
53,-4.9978,1
61,-2.998,1
77,-2.998,1
64,-2.0014,1
68,-0.0016,1
90,-0.0016,1
159,-0.9982,1
139,1.0016,1
92,-2.998,1
68,-0.0016,1
52,-0.9982,1
36,-0.9982,1
27,-0.0016,1
28,-0.0016,0
20,-2.998,0
12,-2.998,0
8,-0.9982,0
5,-0.9982,0
1,-0.9982,0
3,-4.9978,0
10,-2.0014,0
23,-6.001,0
33,-4.0012,0
59,-2.998,0
72,-2.998,0
89,-0.9982,0
101,1.0016,0
118,3.0014,0
129,5.0012,0
128,5.9978,0
83,3.998,0
84,3.0014,0
74,3.998,0
41,3.998,0
57,3.998,0
26,5.0012,0
44,3.0014,0
39,3.998,0
23,1.9982,0
16,3.0014,0
15,1.9982,0
1,1.0016,0
2,1.0016,0
1,1.0016,0
3,-2.0014,0
18,-2.0014,0
32,-2.0014,0
79,-2.0014,0
93,-0.9982,0
104,-2.0014,0
118,-0.9982,0
91,1.9982,0
113,-0.0016,0
99,-0.9982,0
105,-2.0014,0
67,-2.0014,0
61,-2.998,0
57,-2.998,0
28,-2.998,0
21,-2.0014,0
18,-0.9982,0
17,-2.998,0
16,-2.998,0
8,-4.9978,0
2,-4.0012,0
3,-2.998,0
1,-2.998,0
5,-4.0012,0
13,-4.0012,0
33,-6.001,0
47,-6.001,0
57,-6.001,0
64,-6.001,0
80,-2.998,0
93,-2.998,0
86,-2.0014,0
93,-2.0014,0
82,-2.0014,0
71,-2.998,0
92,-4.9978,0
60,-4.0012,0
33,-6.001,0
27,-6.001,0
13,-8.0008,0
4,-6.9976,0
3,-4.0012,1
22,-2.998,1
28,-0.9982,1
35,-0.9982,1
61,-0.9982,1
125,-0.9982,1
133,-0.9982,1
99,-0.9982,1
83,1.9982,1
41,-0.0016,1
33,1.0016,1
20,1.9982,1
3,1.9982,1
7,-0.9982,1
3,-0.9982,1
2,-0.9982,1
7,1.0016,1
32,1.0016,1
90,1.0016,1
197,1.0016,1
109,1.0016,1
47,1.9982,1
52,3.998,1
70,5.0012,1
78,11.0006,1
75,11.0006,1
82,11.0006,1
104,9.9974,1
197,5.9978,1
161,5.0012,1
112,3.0014,1
76,3.998,1
59,3.0014,1
59,3.998,1
28,1.9982,1
8,-4.0012,1
3,-4.0012,1
2,-0.9982,1
2,-0.9982,1
3,-2.0014,1
22,-2.0014,1
52,-0.9982,1
135,-0.9982,1
116,-0.9982,1
47,-0.9982,1
51,-0.0016,1
55,1.0016,1
52,1.0016,1
54,1.0016,1
52,3.0014,1
64,-0.0016,1
176,3.0014,1
168,1.0016,1
108,-0.0016,1
74,-0.9982,1
64,-0.9982,1
36,1.0016,1
16,-2.998,1
2,-0.0016,1
3,-0.9982,1
4,-0.9982,1
1,-0.9982,1
1,-2.0014,1
3,-0.0016,1
18,-0.0016,1
49,-2.0014,1
155,-2.0014,1
123,1.0016,1
61,1.9982,1
52,-0.9982,1
64,-0.9982,1
75,5.9978,1
63,9.9974,1
76,9.9974,1
103,5.9978,1
190,5.0012,1
182,3.0014,1
91,-0.0016,1
75,-2.998,1
63,-2.998,1
40,-2.0014,1
32,-4.9978,1
12,-4.9978,1
5,-6.001,1
2,-4.9978,1
1,-4.9978,1
2,-6.9976,1
39,-6.9976,1
87,-8.0008,1
188,-8.0008,1
133,-6.9976,1
52,-6.001,1
64,-6.9976,1
69,-4.0012,1
51,-4.9978,1
47,-2.998,1
60,-2.998,1
78,-2.0014,1
175,-2.998,1
147,-2.0014,1
96,1.0016,1
109,-0.9982,1
54,-2.0014,1
41,-2.0014,1
38,-0.9982,1
13,1.0016,1
7,-0.9982,1
1,-4.9978,1
1,-4.9978,1
7,-6.001,1
28,-0.9982,1
87,-2.0014,1
220,-6.001,1
127,-4.0012,1
51,-2.0014,1
64,-0.9982,1
86,-0.0016,1
82,1.0016,1
91,1.9982,1
90,1.9982,1
99,3.0014,1
205,1.9982,1
155,1.0016,1
103,-0.0016,1
71,-0.0016,1
43,-0.0016,1
46,-0.0016,1
31,-0.0016,1
39,-0.0016,0
18,-0.0016,0
17,-0.0016,0
11,-0.0016,0
8,-0.9982,0
9,-0.9982,0
4,1.0016,0
4,1.0016,0
10,-0.9982,0
20,-0.9982,0
34,-2.0014,0
47,-0.9982,0
52,-0.9982,0
72,-0.9982,0
55,1.9982,0
60,1.9982,0
71,-0.9982,0
78,-2.0014,0
83,-0.0016,0
84,-0.0016,0
69,3.0014,0
56,1.0016,0
45,1.9982,0
59,1.0016,0
39,1.0016,0
44,-0.9982,0
20,-0.9982,0
13,3.0014,0
2,-0.9982,0
1,1.0016,0
1,1.0016,0
8,-0.0016,0
23,1.0016,0
45,3.0014,0
89,3.0014,0
117,3.998,0
174,5.9978,0
182,7.9976,0
161,7.001,0
182,7.001,0
157,7.001,0
121,7.9976,0
78,3.998,0
21,3.0014,0
26,3.0014,0
27,3.998,0
62,3.998,0
30,3.0014,0
15,3.0014,1
5,1.9982,1
3,1.0016,1
1,1.0016,1
2,1.0016,1
10,1.0016,1
30,-0.0016,1
95,-0.0016,1
230,-0.9982,1
118,1.9982,1
55,1.0016,1
47,5.0012,1
66,7.001,1
64,7.9976,1
60,7.9976,1
50,9.9974,1
114,7.001,1
216,5.0012,1
175,5.9978,1
128,7.001,1
88,5.9978,1
78,7.001,1
37,3.998,1
25,5.9978,1
10,5.0012,1
4,5.0012,1
2,1.9982,1
1,1.9982,1
3,1.0016,1
2,-0.9982,1
39,-0.9982,1
100,-2.998,1
243,-2.998,1
135,-2.998,1
48,-4.0012,1
50,-4.0012,1
65,-2.998,1
50,-2.998,1
64,-2.998,1
51,-2.998,1
83,-4.0012,1
176,-4.0012,1
152,-4.0012,1
101,-8.0008,1
56,-6.9976,1
54,-8.9974,1
29,-8.9974,1
12,-8.9974,1
17,-10.9972,1
7,-8.9974,1
3,-10.9972,1
2,-10.9972,1
7,-8.9974,1
43,-6.001,1
99,-8.9974,1
199,-6.9976,1
123,-6.9976,1
59,-4.0012,1
41,-6.001,1
61,-4.0012,1
69,-4.9978,1
58,-4.0012,1
64,-4.0012,1
79,-2.998,1
166,-2.998,1
170,-4.9978,1
88,-8.0008,1
84,-6.001,1
83,-6.001,1
46,-4.9978,1
